secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix,ticker,index_flag,issuer,div_convention,exercise_style,am_set_flag
121812,20130814,GOOG 130817C1170000,1,20130817,20130605,C,1170000,0,0.05,0,4,,,,,,101047555,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1180000,1,20130817,20130717,C,1180000,0,0.05,0,5,,,,,,101047556,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1190000,1,20130817,20130718,C,1190000,0,0.05,0,13,,,,,,101047557,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1200000,1,20130817,20130718,C,1200000,0,0.05,0,22,,,,,,101047558,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1210000,1,20130817,20130522,C,1210000,0,0.05,0,1,,,,,,101047559,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1220000,1,20130817,20130611,C,1220000,0,0.05,0,3,,,,,,101047560,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1230000,1,20130817,20130611,C,1230000,0,0.05,0,1,,,,,,101047561,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1240000,1,20130817,20130709,C,1240000,0,0.05,0,2,,,,,,101047562,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1250000,1,20130817,20130709,C,1250000,0,0.05,0,1,,,,,,101047563,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1260000,1,20130817,20130712,C,1260000,0,0.05,0,19,,,,,,101047564,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1270000,1,20130817,,C,1270000,0,0.05,0,0,,,,,,101047565,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1280000,1,20130817,20130603,C,1280000,0,0.05,0,2,,,,,,101047566,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1290000,1,20130817,20130603,C,1290000,0,0.05,0,2,,,,,,101047567,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1300000,1,20130817,20130709,C,1300000,0,0.05,0,1,,,,,,101047568,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1310000,1,20130817,,C,1310000,0,0.05,0,0,,,,,,101047569,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1320000,1,20130817,20130718,C,1320000,0,0.05,0,3,,,,,,101047570,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1330000,1,20130817,20130614,C,1330000,0,0.05,0,23,,,,,,101047571,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1340000,1,20130817,,C,1340000,0,0.05,0,0,,,,,,101047572,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1350000,1,20130817,,C,1350000,0,0.05,0,0,,,,,,101047573,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C1360000,1,20130817,20130718,C,1360000,0,0.05,0,100,,,,,,101047574,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C500000,1,20130817,20130610,C,500000,368,370.6,0,1,,,,,,101068294,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C505000,1,20130817,,C,505000,363,365.6,0,0,,,,,,101068295,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C510000,1,20130817,,C,510000,358,360.6,0,0,,,,,,101068296,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C515000,1,20130817,,C,515000,353,355.6,0,0,,,,,,101068297,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C520000,1,20130817,20130801,C,520000,348,350.6,0,2,,,,,,101068298,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C525000,1,20130817,,C,525000,343,345.6,0,0,,,,,,101068299,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C530000,1,20130817,,C,530000,338,340.6,0,0,,,,,,101068300,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C535000,1,20130817,,C,535000,333,335.6,0,0,,,,,,101068301,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C540000,1,20130817,20130718,C,540000,328,330.6,0,1,,,,,,101068302,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C545000,1,20130817,,C,545000,323,325.6,0,0,,,,,,101068303,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C550000,1,20130817,,C,550000,318,320.6,0,0,,,,,,101068304,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C555000,1,20130817,,C,555000,313,315.6,0,0,,,,,,101068305,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C560000,1,20130817,,C,560000,308.1,310.6,0,0,,,,,,101068306,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C565000,1,20130817,,C,565000,303,305.6,0,0,,,,,,101068307,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C570000,1,20130817,,C,570000,298.1,300.5,0,0,,,,,,101068308,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C575000,1,20130817,,C,575000,293.4,295.6,0,0,,,,,,101068309,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C580000,1,20130817,,C,580000,288.1,290.5,0,0,,,,,,101068310,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C585000,1,20130817,,C,585000,283.5,285.6,0,0,,,,,,101068311,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C590000,1,20130817,,C,590000,278.1,280.5,0,0,,,,,,101068312,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C595000,1,20130817,,C,595000,273.1,275.5,0,0,,,,,,101068313,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C600000,1,20130817,,C,600000,268.1,270.5,0,0,,,,,,101068314,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C605000,1,20130817,,C,605000,263.1,265.5,0,0,,,,,,101068315,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C610000,1,20130817,,C,610000,258.5,260.6,0,0,,,,,,101068316,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C615000,1,20130817,,C,615000,253.1,255.5,0,0,,,,,,101068317,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C620000,1,20130817,,C,620000,248.3,250.5,0,0,,,,,,101068318,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C625000,1,20130817,,C,625000,243.5,245.6,0,0,,,,,,101068319,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C630000,1,20130817,,C,630000,238.3,240.5,0,0,,,,,,101068320,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C635000,1,20130817,,C,635000,233.5,235.6,0,0,,,,,,101068321,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C640000,1,20130817,,C,640000,228.1,230.5,0,0,,,,,,101068322,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C645000,1,20130817,,C,645000,223.3,225.5,0,0,,,,,,101068323,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C650000,1,20130817,,C,650000,218.3,220.5,0,0,,,,,,101068324,1,0,,,GOOGL,0,GOOGLE INC,,A,0
121812,20130814,GOOG 130817C655000,1,20130817,20130729,C,655000,213.3,215.5,0,9,,,,,,101068325,1,0,,,GOOGL,0,GOOGLE INC,,A,0
